filetype	tag	column	name	qtype	datatype	nulls	note
Orders	AvailableVWAPVolume	available_vwap_volume	available_vwap_volume	j	number(38,0)	1	
Orders	AvailableVWAPClosing	available_vwap_closing	available_vwap_closing	f	number(28,14)	1	
Orders	AvailableVWAPClosingVolume	available_vwap_closing_volume	available_vwap_closing_volume	j	number(38,0)	1	
Orders	SPYStartBid	spy_start_bid	spy_start_bid	f	number(18,6)	1	
Orders	SPYStartAsk	spy_start_ask	spy_start_ask	f	number(18,6)	1	
Orders	SPYEndBid	spy_end_bid	spy_end_bid	f	number(18,6)	1	
Orders	SPYEndAsk	spy_end_ask	spy_end_ask	f	number(18,6)	1	
Orders	EffectiveVWAP	effective_vwap	effective_vwap	f	number(28,14)	1	
Orders	EffectiveVWAPVolume	effective_vwap_volume	effective_vwap_volume	j	number(38,0)	1	
Orders	DerivedLimit	derived_limit	derived_limit	f	number(18,6)	1	
Orders	RelativeLimitChange	relative_limit_change	relative_limit_change	f	number(28,14)	1	
Orders	SymbolPriceChange	symbol_price_change	symbol_price_change	f	number(18,6)	1	
Orders	RelativeLimitSpread	relative_limit_spread	relative_limit_spread	f	number(28,14)	1	
Orders	RelativeLimitInOut	relative_limit_in_out	relative_limit_in_out	s	varchar(20)	1	IN/OUT when defined, nearly always null
Orders	ParticipationScope	participation_scope	participation_scope	f	number(28,14)	1	
Orders	Notional	notional	notional	f	number(28,6)	1	
Orders	OrderADV30	order_adv_30	order_adv_30	f	number(28,14)	1	
Orders	NavMTVOverall	nav_mtv_overall	nav_mtv_overall	f	number(28,14)	1	
Orders	NavMTVCurrentSegment	nav_mtv_current_segment	nav_mtv_current_segment	f	number(28,14)	1	
Orders	NavPOVOverall	nav_pov_overall	nav_pov_overall	f	number(28,14)	1	
Orders	NavPOVCurrentSegment	nav_pov_current_segment	nav_pov_current_segment	f	number(28,14)	1	
Orders	Leaves	leaves	leaves	f	number(18,2)	1	Possible float with 2 decimals?
Orders	PercentComplete	percent_complete	percent_complete	f	number(28,14)	1	
Orders	ClosingAuctionOrderPerc	closing_auction_order_perc	closing_auction_order_perc	f	number(28,14)	1	
Orders	RelativeLimitSpreadEOD	relative_limit_spread_eod	relative_limit_spread_eod	f	number(28,10)	1	
Orders	RelativeLimitInOutEOD	relative_limit_in_out_eod	relative_limit_in_out_eod	s	varchar(20)	1	IN/OUT when defined, nearly always null
Orders	ParticipationScopeEOD	participation_scope_eod	participation_scope_eod	f	number(28,14)	1	
Orders	SSR	ssr	ssrflag	s	varchar(16777216)	1	Yes/No
Orders	IsStockHalted	is_stock_halted	is_stock_halted	s	boolean	1	True/False
Orders	SymbolPNC	symbol_pnc	symbol_pnc	f	number(18,6)	1	
Orders	OutOfLimitOrVolCapped	out_of_limit_or_vol_capped	out_of_limit_or_vol_capped	*	varchar(100)	1	Example: 'IN, -2.50' or 'MID, 51.55'
Orders	NavAlgoStyle	nav_algo_style	nav_algo_style	s	varchar(50)	1	
Orders	SecurityRemainingIntradayVolume	security_remaining_intraday_volume	security_remaining_intraday_volume	j	number(38,0)	1	
Orders	ClosingAuctionTargetRate	closing_auction_target_rate	closing_auction_target_rate	f	number(28,14)	1	
